id,target
133627,289.11625122867554
133629,38.80345441631761
133630,31.26246306818296
133631,28.602499751647535
133633,31.575194896530892
133634,35.087492597441106
133635,313.4070154062488
133637,39.6773988741336
133638,28.49324728747904
133639,27.672243237860993
133641,31.022834181134535
133642,33.85700153454544
133643,354.42371200263767
133645,37.45371003742404
133646,27.69495095632466
133647,28.08984220486546
133649,29.412075324361325
133650,34.584956672881
133651,379.28150646931476
133653,38.154021667871525
133654,27.5978935950718
133655,30.009417266925002
133657,29.13223580626684
133658,34.990367963017064
133659,393.01138623700723
133661,41.333006379823495
133662,29.232971472359058
133663,29.883958274700184
133665,31.86346162549489
133666,35.86377131998312
133667,386.45362130589785
133669,45.415429639336914
133670,32.64252259620569
133671,31.140869499519695
133673,33.86020357011959
133674,37.539704506380936
133675,348.53468291777045
133677,53.384427198228764
133678,36.193791296962466
133679,33.84888701708171
133681,38.12319458863617
133682,39.266254869091945
133683,249.5110593109787
133685,46.6369302327403
133686,38.955453896015584
133687,32.226543094233065
133689,37.29062657324713
133690,40.11871718031753
133691,46.87655824877206
133693,30.02810330114624
133694,30.363137956459163
133695,25.648611027624074
133697,30.67350875963567
133698,31.958326324453004
133699,31.494311863392667
133701,28.561762176653247
133702,28.110088223232665
133703,26.97297379040366
133705,27.999059957322626
133706,32.33818840256648
133707,26.98428644068093
133709,27.249709540489107
133710,25.85088914428238
133711,29.87469067360247
133713,28.396173526561604
133714,29.862937137482238
133715,25.867643486879743
133717,26.71590533642424
133718,28.248727164219027
133719,31.6320976173724
133721,29.32492810424467
133722,28.567217994072294
133723,26.65077285286723
133725,29.9283384138844
133726,27.426746787771663
133727,32.92126557604996
133729,30.052726184639774
133730,30.339460967926595
133731,30.11603307777236
133733,32.344997037715046
133734,30.96736296412154
133735,33.865481424682805
133737,32.265375069915926
133738,32.430425789345776
133739,36.02292292747443
133741,35.05023015484673
133742,33.841463804191854
133743,34.03751932250653
133745,31.808939820922763
133746,32.91595226819993
133747,36.07999657690936
133749,36.913708349032596
133750,41.175235821568265
133751,33.47438464616822
133753,31.17426446358734
133754,34.75200186750568
133755,36.5749834950692
133757,36.96717891430818
133758,48.54349559572116
133759,36.11423812872931
133761,32.06156299767056
133762,36.32438220492499
133763,47.89108651186638
133765,40.07808910587373
133766,54.74102752046558
133767,40.59715381217027
133769,31.67994627991834
133770,42.62600471358366
133771,68.48598310169352
133773,54.0290256847268
133774,64.54004145991205
133775,42.379014747910325
133777,39.30008315222894
133778,64.8996781702684
133779,88.31021282212926
133781,81.08645370026794
133782,72.55981731041754
133783,55.83843286479805
133785,53.32194043289037
133786,76.13348338420144
133787,94.13007237493044
133789,48.80620183958734
133790,72.350211188738
133791,43.056057530242065
133793,51.83304772678715
133794,51.025339550435106
